term_id;keyword;genre
18;Call of Duty;fps|war
21;CS2;fps|war|strategy|action
22;valorant;fps
23;Counter-Strike: Global Offensive;fps|war|strategy|action
24;Apex Legends;fps|battle_royale|survival|action
25;PUBG: BATTLEGROUNDS;fps|battle_royale|survival|action
26;Team Fortress 2;fps|action
28;Grand Theft Auto V Legacy;fps|rpg|racing|action
31;War Thunder;fps|war|strategy|simulation|action
33;Warframe;fps|rpg|action
36;Destiny 2;fps|action
38;Rust;fps|simulation|survival|action
48;Hearts of Iron IV;war|strategy|simulation|action
88;Palworld;rpg|survival|action
90;Black Myth: Wukong;rpg|action
92;Monster Hunter Wilds;rpg|action
93;ELDEN RING;rpg|action
96;Baldur's Gate 3;rpg|strategy
97;Stardew Valley;rpg|simulation|casual
100;Hogwarts Legacy;rpg|puzzle|action
101;The Witcher 3: Wild Hunt;rpg|action
168;Among Us;survival|casual|action
170;Resident Evil 4;survival|horror|action
206;Battlefield 2042;fps|war|action
257;Deep Rock Galactic;fps|survival|horror|action
